"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Value of Production Index in Building and Construction","2013","Building (excluding civil engineering)","Base 2015=100","77.507151854"
"Value of Production Index in Building and Construction","2013","Residential building","Base 2015=100","64.584788454"
"Value of Production Index in Building and Construction","2013","Non-residential building","Base 2015=100","87.887768981"
"Value of Production Index in Building and Construction","2013","Civil engineering","Base 2015=100","99.317644197"
"Value of Production Index in Building and Construction","2014","All building and construction","Base 2015=100","91.974680263"
"Value of Production Index in Building and Construction","2014","Building (excluding civil engineering)","Base 2015=100","86.946529366"
"Value of Production Index in Building and Construction","2014","Residential building","Base 2015=100","76.999729361"
"Value of Production Index in Building and Construction","2014","Non-residential building","Base 2015=100","94.936857397"
"Value of Production Index in Building and Construction","2014","Civil engineering","Base 2015=100","103.51993757"
"Value of Production Index in Building and Construction","2015","All building and construction","Base 2015=100","100"
"Value of Production Index in Building and Construction","2015","Building (excluding civil engineering)","Base 2015=100","100"
"Value of Production Index in Building and Construction","2015","Residential building","Base 2015=100","100"
"Value of Production Index in Building and Construction","2015","Non-residential building","Base 2015=100","100"
"Value of Production Index in Building and Construction","2015","Civil engineering","Base 2015=100","100"
"Value of Production Index in Building and Construction","2016","All building and construction","Base 2015=100","110.27145845"
"Value of Production Index in Building and Construction","2016","Building (excluding civil engineering)","Base 2015=100","111.76030686"
"Value of Production Index in Building and Construction","2016","Residential building","Base 2015=100","124.26957409"
"Value of Production Index in Building and Construction","2016","Non-residential building","Base 2015=100","109.82225138"
"Value of Production Index in Building and Construction","2016","Civil engineering","Base 2015=100","103.4889268"
"Value of Production Index in Building and Construction","2017","All building and construction","Base 2015=100","126.31063495"
"Value of Production Index in Building and Construction","2017","Building (excluding civil engineering)","Base 2015=100","130.17769946"
"Value of Production Index in Building and Construction","2017","Residential building","Base 2015=100","146.59952346"
"Value of Production Index in Building and Construction","2017","Non-residential building","Base 2015=100","127.63347321"
"Value of Production Index in Building and Construction","2017","Civil engineering","Base 2015=100","108.69400773"
"Value of Production Index in Building and Construction","2018","All building and construction","Base 2015=100","145.10794734"
"Value of Production Index in Building and Construction","2018","Building (excluding civil engineering)","Base 2015=100","149.31469929"
"Value of Production Index in Building and Construction","2018","Residential building","Base 2015=100","150.58932615"
"Value of Production Index in Building and Construction","2018","Non-residential building","Base 2015=100","149.11722188"
"Value of Production Index in Building and Construction","2018","Civil engineering","Base 2015=100","125.94385516"
"Value of Production Index in Building and Construction","2019","All building and construction","Base 2015=100","156.62467415"
"Value of Production Index in Building and Construction","2019","Building (excluding civil engineering)","Base 2015=100","164.18727623"
"Value of Production Index in Building and Construction","2019","Residential building","Base 2015=100","174.13157535"
"Value of Production Index in Building and Construction","2019","Non-residential building","Base 2015=100","162.64661017"
"Value of Production Index in Building and Construction","2019","Civil engineering","Base 2015=100","122.17282023"
