"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2014","Non-residential building","Base 2015=100","94.902021262"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2014","Civil engineering","Base 2015=100","103.47716884"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2015","All building and construction","Base 2015=100","100.21667341"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2015","Building (excluding civil engineering)","Base 2015=100","100.09153036"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2015","Residential building","Base 2015=100","100.16357473"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2015","Non-residential building","Base 2015=100","99.890205605"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2015","Civil engineering","Base 2015=100","100.49876185"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2016","All building and construction","Base 2015=100","109.97424658"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2016","Building (excluding civil engineering)","Base 2015=100","111.43755633"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2016","Residential building","Base 2015=100","124.04433217"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2016","Non-residential building","Base 2015=100","109.71197984"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2016","Civil engineering","Base 2015=100","103.28759753"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","All building and construction","Base 2015=100","126.31338066"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","Building (excluding civil engineering)","Base 2015=100","130.09895079"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","Residential building","Base 2015=100","146.04231055"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","Non-residential building","Base 2015=100","127.4598866"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","Civil engineering","Base 2015=100","108.41590549"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","All building and construction","Base 2015=100","144.76994395"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","Building (excluding civil engineering)","Base 2015=100","148.91822477"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","Residential building","Base 2015=100","150.47614121"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","Non-residential building","Base 2015=100","148.99025394"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","Civil engineering","Base 2015=100","125.19961165"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","All building and construction","Base 2015=100","156.26248274"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","Building (excluding civil engineering)","Base 2015=100","163.68027561"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","Residential building","Base 2015=100","173.3091838"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","Non-residential building","Base 2015=100","162.42747766"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","Civil engineering","Base 2015=100","122.33993835"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","All building and construction","Base 2015=100","143.95929974"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","Building (excluding civil engineering)","Base 2015=100","152.87705114"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","Residential building","Base 2015=100","137.73987145"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","Non-residential building","Base 2015=100","154.57669034"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","Civil engineering","Base 2015=100","105.15760656"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","All building and construction","Base 2015=100","146.11917886"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","Building (excluding civil engineering)","Base 2015=100","150.84774153"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","Residential building","Base 2015=100","127.36323224"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","Non-residential building","Base 2015=100","155.79239413"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","Civil engineering","Base 2015=100","124.23445605"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","All building and construction","Base 2015=100","166.18516032"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","Building (excluding civil engineering)","Base 2015=100","173.05563751"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","Residential building","Base 2015=100","147.36336652"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","Non-residential building","Base 2015=100","176.83400638"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","Civil engineering","Base 2015=100","134.78475551"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","All building and construction","Base 2015=100","218.52597615"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","Building (excluding civil engineering)","Base 2015=100","281.23224879"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","Residential building","Base 2015=100","472.00944409"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","Non-residential building","Base 2015=100","148.36234232"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","Civil engineering","Base 2015=100","87.017848974"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","All building and construction","Base 2015=100","226.03748275"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","Building (excluding civil engineering)","Base 2015=100","286.07378356"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","Residential building","Base 2015=100","491.10401249"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","Non-residential building","Base 2015=100","142.17765663"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","Civil engineering","Base 2015=100","97.587817124"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","All building and construction","Base 2015=100","230.82176139"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","Building (excluding civil engineering)","Base 2015=100","283.88979121"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","Residential building","Base 2015=100","499.39561559"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","Non-residential building","Base 2015=100","131.57263708"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","Civil engineering","Base 2015=100","112.47359333"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","All building and construction","Base 2015=100","243.8581567"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","Building (excluding civil engineering)","Base 2015=100","303.01451534"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","Residential building","Base 2015=100","555.03265685"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","Non-residential building","Base 2015=100","123.18186204"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","Civil engineering","Base 2015=100","113.97211672"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","All building and construction","Base 2015=100","305.77157847"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","Building (excluding civil engineering)","Base 2015=100","386.23720734"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","Residential building","Base 2015=100","732.51879225"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","Non-residential building","Base 2015=100","139.38254888"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","Civil engineering","Base 2015=100","129.2861788"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","All building and construction","Base 2015=100","334.95420373"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","Building (excluding civil engineering)","Base 2015=100","421.62030515"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","Residential building","Base 2015=100","803.85418791"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","Non-residential building","Base 2015=100","149.29284938"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","Civil engineering","Base 2015=100","144.50985837"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","All building and construction","Base 2015=100","347.85460328"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","Building (excluding civil engineering)","Base 2015=100","431.9679153"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","Residential building","Base 2015=100","817.14520319"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","Non-residential building","Base 2015=100","158.08023397"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","Civil engineering","Base 2015=100","162.94639033"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","All building and construction","Base 2015=100","301.4296171"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","Building (excluding civil engineering)","Base 2015=100","361.29307638"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","Residential building","Base 2015=100","645.60784226"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","Non-residential building","Base 2015=100","159.75336851"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","Civil engineering","Base 2015=100","170.34906244"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","All building and construction","Base 2015=100","214.27436152"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","Building (excluding civil engineering)","Base 2015=100","239.48636651"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","Residential building","Base 2015=100","357.8709653"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","Non-residential building","Base 2015=100","155.6429057"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","Civil engineering","Base 2015=100","160.0689546"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","All building and construction","Base 2015=100","135.37351051"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","Building (excluding civil engineering)","Base 2015=100","133.94429083"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","Residential building","Base 2015=100","150.12879626"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","Non-residential building","Base 2015=100","121.34425927"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","Civil engineering","Base 2015=100","139.58507416"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","All building and construction","Base 2015=100","94.833060973"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","Building (excluding civil engineering)","Base 2015=100","89.100193556"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","Residential building","Base 2015=100","93.284840361"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","Non-residential building","Base 2015=100","85.667580908"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","Civil engineering","Base 2015=100","108.44739203"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","All building and construction","Base 2015=100","78.660484364"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","Building (excluding civil engineering)","Base 2015=100","77.059867472"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","Residential building","Base 2015=100","68.019522643"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","Non-residential building","Base 2015=100","84.271612286"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","Civil engineering","Base 2015=100","82.483054279"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","All building and construction","Base 2015=100","76.872346217"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","Building (excluding civil engineering)","Base 2015=100","68.522046024"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","Residential building","Base 2015=100","59.687512204"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","Non-residential building","Base 2015=100","75.398502576"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","Civil engineering","Base 2015=100","96.179746127"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","All building and construction","Base 2015=100","85.448355924"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","Building (excluding civil engineering)","Base 2015=100","78.563023136"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","Residential building","Base 2015=100","66.000231003"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","Non-residential building","Base 2015=100","89.477105539"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","Civil engineering","Base 2015=100","100.90217632"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","All building and construction","Base 2015=100","92.744720859"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","Building (excluding civil engineering)","Base 2015=100","87.503827633"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","Residential building","Base 2015=100","77.167246832"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","Non-residential building","Base 2015=100","95.739436189"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","Civil engineering","Base 2015=100","104.19244935"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","All building and construction","Base 2015=100","100.23026712"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","Building (excluding civil engineering)","Base 2015=100","100.0866828"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","Residential building","Base 2015=100","100.14941836"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","Non-residential building","Base 2015=100","99.955795618"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","Civil engineering","Base 2015=100","100.31275008"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","All building and construction","Base 2015=100","109.61581012"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","Building (excluding civil engineering)","Base 2015=100","111.07097722"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","Residential building","Base 2015=100","123.64111459"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","Non-residential building","Base 2015=100","109.39576225"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","Civil engineering","Base 2015=100","102.90895171"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","All building and construction","Base 2015=100","124.05317487"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","Building (excluding civil engineering)","Base 2015=100","127.93105252"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","Residential building","Base 2015=100","143.55528017"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","Non-residential building","Base 2015=100","125.35199048"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","Civil engineering","Base 2015=100","106.59512056"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","All building and construction","Base 2015=100","136.71016597"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","Building (excluding civil engineering)","Base 2015=100","140.77088243"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","Residential building","Base 2015=100","142.28315747"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","Non-residential building","Base 2015=100","140.6433532"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","Civil engineering","Base 2015=100","118.34620127"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","All building and construction","Base 2015=100","144.41278486"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","Building (excluding civil engineering)","Base 2015=100","151.27848652"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","Residential building","Base 2015=100","160.19574902"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","Non-residential building","Base 2015=100","150.18177149"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","Civil engineering","Base 2015=100","113.12945184"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","All building and construction","Base 2015=100","131.84684656"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","Building (excluding civil engineering)","Base 2015=100","139.29929481"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","Residential building","Base 2015=100","125.84263966"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","Non-residential building","Base 2015=100","141.40096602"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","Civil engineering","Base 2015=100","96.075955309"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","All building and construction","Base 2015=100","126.38401178"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","Building (excluding civil engineering)","Base 2015=100","130.50660472"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","Residential building","Base 2015=100","109.85366972"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","Non-residential building","Base 2015=100","134.57432786"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","Civil engineering","Base 2015=100","107.49337249"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","All building and construction","Base 2015=100","130.32096289"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","Building (excluding civil engineering)","Base 2015=100","135.73318712"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","Residential building","Base 2015=100","115.72341515"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","Non-residential building","Base 2015=100","138.4032497"
"Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","Civil engineering","Base 2015=100","105.57283452"
