"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Labour Costs - Other","2010","Building completion and finishing (433)","Euro Thousand",""
"Labour Costs - Other","2010","Other specialised construction activities (439)","Euro Thousand",""
"Labour Costs - Other","2010","Construction (41 to 43)","Euro Thousand",""
"Labour Costs - Other","2011","Development of building projects (411)","Euro Thousand",""
"Labour Costs - Other","2011","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Labour Costs - Other","2011","Construction of roads and railways (421)","Euro Thousand",""
"Labour Costs - Other","2011","Construction of utility projects (422)","Euro Thousand",""
"Labour Costs - Other","2011","Construction of other civil engineering projects (429)","Euro Thousand",""
"Labour Costs - Other","2011","Demolition and site preparation (431)","Euro Thousand",""
"Labour Costs - Other","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Labour Costs - Other","2011","Building completion and finishing (433)","Euro Thousand",""
"Labour Costs - Other","2011","Other specialised construction activities (439)","Euro Thousand",""
"Labour Costs - Other","2011","Construction (41 to 43)","Euro Thousand",""
"Labour Costs - Other","2012","Development of building projects (411)","Euro Thousand",""
"Labour Costs - Other","2012","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Labour Costs - Other","2012","Construction of roads and railways (421)","Euro Thousand",""
"Labour Costs - Other","2012","Construction of utility projects (422)","Euro Thousand",""
"Labour Costs - Other","2012","Construction of other civil engineering projects (429)","Euro Thousand",""
"Labour Costs - Other","2012","Demolition and site preparation (431)","Euro Thousand",""
"Labour Costs - Other","2012","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Labour Costs - Other","2012","Building completion and finishing (433)","Euro Thousand",""
"Labour Costs - Other","2012","Other specialised construction activities (439)","Euro Thousand",""
"Labour Costs - Other","2012","Construction (41 to 43)","Euro Thousand",""
"Labour Costs - Other","2013","Development of building projects (411)","Euro Thousand",""
"Labour Costs - Other","2013","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Labour Costs - Other","2013","Construction of roads and railways (421)","Euro Thousand",""
"Labour Costs - Other","2013","Construction of utility projects (422)","Euro Thousand",""
"Labour Costs - Other","2013","Construction of other civil engineering projects (429)","Euro Thousand",""
"Labour Costs - Other","2013","Demolition and site preparation (431)","Euro Thousand",""
"Labour Costs - Other","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Labour Costs - Other","2013","Building completion and finishing (433)","Euro Thousand",""
"Labour Costs - Other","2013","Other specialised construction activities (439)","Euro Thousand",""
"Labour Costs - Other","2013","Construction (41 to 43)","Euro Thousand",""
"Labour Costs - Other","2014","Development of building projects (411)","Euro Thousand",""
"Labour Costs - Other","2014","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Labour Costs - Other","2014","Construction of roads and railways (421)","Euro Thousand",""
"Labour Costs - Other","2014","Construction of utility projects (422)","Euro Thousand",""
"Labour Costs - Other","2014","Construction of other civil engineering projects (429)","Euro Thousand",""
"Labour Costs - Other","2014","Demolition and site preparation (431)","Euro Thousand",""
"Labour Costs - Other","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Labour Costs - Other","2014","Building completion and finishing (433)","Euro Thousand",""
"Labour Costs - Other","2014","Other specialised construction activities (439)","Euro Thousand",""
"Labour Costs - Other","2014","Construction (41 to 43)","Euro Thousand",""
"Labour Costs - Other","2015","Development of building projects (411)","Euro Thousand","6424"
"Labour Costs - Other","2015","Construction of residential and non-residential buildings (412)","Euro Thousand","89396"
"Labour Costs - Other","2015","Construction of roads and railways (421)","Euro Thousand","13124"
"Labour Costs - Other","2015","Construction of utility projects (422)","Euro Thousand","10939"
"Labour Costs - Other","2015","Construction of other civil engineering projects (429)","Euro Thousand","12538"
"Labour Costs - Other","2015","Demolition and site preparation (431)","Euro Thousand","5937"
"Labour Costs - Other","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","123402"
"Labour Costs - Other","2015","Building completion and finishing (433)","Euro Thousand","95078"
"Labour Costs - Other","2015","Other specialised construction activities (439)","Euro Thousand","57180"
"Labour Costs - Other","2015","Construction (41 to 43)","Euro Thousand","414018"
"Labour Costs - Other","2016","Development of building projects (411)","Euro Thousand","14222"
"Labour Costs - Other","2016","Construction of residential and non-residential buildings (412)","Euro Thousand","181226"
"Labour Costs - Other","2016","Construction of roads and railways (421)","Euro Thousand","17099"
"Labour Costs - Other","2016","Construction of utility projects (422)","Euro Thousand","16629"
"Labour Costs - Other","2016","Construction of other civil engineering projects (429)","Euro Thousand","15387"
"Labour Costs - Other","2016","Demolition and site preparation (431)","Euro Thousand","7186"
"Labour Costs - Other","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","128546"
"Labour Costs - Other","2016","Building completion and finishing (433)","Euro Thousand","98858"
"Labour Costs - Other","2016","Other specialised construction activities (439)","Euro Thousand","63400"
"Labour Costs - Other","2016","Construction (41 to 43)","Euro Thousand","542554"
"Labour Costs - Other","2017","Development of building projects (411)","Euro Thousand","18314"
"Labour Costs - Other","2017","Construction of residential and non-residential buildings (412)","Euro Thousand","221195"
"Labour Costs - Other","2017","Construction of roads and railways (421)","Euro Thousand","21508"
"Labour Costs - Other","2017","Construction of utility projects (422)","Euro Thousand","18483"
"Labour Costs - Other","2017","Construction of other civil engineering projects (429)","Euro Thousand","19605"
"Labour Costs - Other","2017","Demolition and site preparation (431)","Euro Thousand","8447"
"Labour Costs - Other","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","180366"
"Labour Costs - Other","2017","Building completion and finishing (433)","Euro Thousand","143711"
"Labour Costs - Other","2017","Other specialised construction activities (439)","Euro Thousand","93412"
"Labour Costs - Other","2017","Construction (41 to 43)","Euro Thousand","725040"
"Labour Costs - Other","2018","Development of building projects (411)","Euro Thousand","19350"
"Labour Costs - Other","2018","Construction of residential and non-residential buildings (412)","Euro Thousand","243802"
"Labour Costs - Other","2018","Construction of roads and railways (421)","Euro Thousand","23826"
"Labour Costs - Other","2018","Construction of utility projects (422)","Euro Thousand","17761"
"Labour Costs - Other","2018","Construction of other civil engineering projects (429)","Euro Thousand","15118"
"Labour Costs - Other","2018","Demolition and site preparation (431)","Euro Thousand","10538"
"Labour Costs - Other","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","194025"
"Labour Costs - Other","2018","Building completion and finishing (433)","Euro Thousand","146175"
"Labour Costs - Other","2018","Other specialised construction activities (439)","Euro Thousand","99244"
"Labour Costs - Other","2018","Construction (41 to 43)","Euro Thousand","769838"
"Labour Costs - Other","2019","Development of building projects (411)","Euro Thousand","29759"
"Labour Costs - Other","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","273177"
"Labour Costs - Other","2019","Construction of roads and railways (421)","Euro Thousand","32758"
"Labour Costs - Other","2019","Construction of utility projects (422)","Euro Thousand","14872"
"Labour Costs - Other","2019","Construction of other civil engineering projects (429)","Euro Thousand","19442"
"Labour Costs - Other","2019","Demolition and site preparation (431)","Euro Thousand","8566"
"Labour Costs - Other","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","258061"
"Labour Costs - Other","2019","Building completion and finishing (433)","Euro Thousand","183302"
"Labour Costs - Other","2019","Other specialised construction activities (439)","Euro Thousand","104754"
"Labour Costs - Other","2019","Construction (41 to 43)","Euro Thousand","924690"
"Labour Costs - Total","2008","Development of building projects (411)","Euro Thousand","192235"
"Labour Costs - Total","2008","Construction of residential and non-residential buildings (412)","Euro Thousand","2441038"
"Labour Costs - Total","2008","Construction of roads and railways (421)","Euro Thousand","265609"
"Labour Costs - Total","2008","Construction of utility projects (422)","Euro Thousand","113767"
"Labour Costs - Total","2008","Construction of other civil engineering projects (429)","Euro Thousand","182320"
"Labour Costs - Total","2008","Demolition and site preparation (431)","Euro Thousand","108865"
"Labour Costs - Total","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1426132"
"Labour Costs - Total","2008","Building completion and finishing (433)","Euro Thousand","1591159"
"Labour Costs - Total","2008","Other specialised construction activities (439)","Euro Thousand","1062083"
"Labour Costs - Total","2008","Construction (41 to 43)","Euro Thousand","7383211"
"Labour Costs - Total","2009","Development of building projects (411)","Euro Thousand","162647"
"Labour Costs - Total","2009","Construction of residential and non-residential buildings (412)","Euro Thousand","1705406"
"Labour Costs - Total","2009","Construction of roads and railways (421)","Euro Thousand","174448"
"Labour Costs - Total","2009","Construction of utility projects (422)","Euro Thousand","92812"
"Labour Costs - Total","2009","Construction of other civil engineering projects (429)","Euro Thousand","181422"
"Labour Costs - Total","2009","Demolition and site preparation (431)","Euro Thousand","82619"
"Labour Costs - Total","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1196523"
"Labour Costs - Total","2009","Building completion and finishing (433)","Euro Thousand","1141570"
"Labour Costs - Total","2009","Other specialised construction activities (439)","Euro Thousand","727531"
"Labour Costs - Total","2009","Construction (41 to 43)","Euro Thousand","5464978"
"Labour Costs - Total","2010","Development of building projects (411)","Euro Thousand","87836"
"Labour Costs - Total","2010","Construction of residential and non-residential buildings (412)","Euro Thousand","1058394"
"Labour Costs - Total","2010","Construction of roads and railways (421)","Euro Thousand","127223"
"Labour Costs - Total","2010","Construction of utility projects (422)","Euro Thousand","82753"
"Labour Costs - Total","2010","Construction of other civil engineering projects (429)","Euro Thousand","105482"
"Labour Costs - Total","2010","Demolition and site preparation (431)","Euro Thousand","53136"
"Labour Costs - Total","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","930515"
"Labour Costs - Total","2010","Building completion and finishing (433)","Euro Thousand","838778"
"Labour Costs - Total","2010","Other specialised construction activities (439)","Euro Thousand","480712"
"Labour Costs - Total","2010","Construction (41 to 43)","Euro Thousand","3764831"
"Labour Costs - Total","2011","Development of building projects (411)","Euro Thousand","64145"
"Labour Costs - Total","2011","Construction of residential and non-residential buildings (412)","Euro Thousand","714119"
"Labour Costs - Total","2011","Construction of roads and railways (421)","Euro Thousand","95186"
"Labour Costs - Total","2011","Construction of utility projects (422)","Euro Thousand","68424"
"Labour Costs - Total","2011","Construction of other civil engineering projects (429)","Euro Thousand","87717"
"Labour Costs - Total","2011","Demolition and site preparation (431)","Euro Thousand","35828"
"Labour Costs - Total","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","715467"
"Labour Costs - Total","2011","Building completion and finishing (433)","Euro Thousand","628012"
"Labour Costs - Total","2011","Other specialised construction activities (439)","Euro Thousand","339750"
"Labour Costs - Total","2011","Construction (41 to 43)","Euro Thousand","2748647"
"Labour Costs - Total","2012","Development of building projects (411)","Euro Thousand","51850"
"Labour Costs - Total","2012","Construction of residential and non-residential buildings (412)","Euro Thousand","567449"
"Labour Costs - Total","2012","Construction of roads and railways (421)","Euro Thousand","100636"
"Labour Costs - Total","2012","Construction of utility projects (422)","Euro Thousand","67601"
"Labour Costs - Total","2012","Construction of other civil engineering projects (429)","Euro Thousand","81777"
"Labour Costs - Total","2012","Demolition and site preparation (431)","Euro Thousand","31614"
"Labour Costs - Total","2012","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","663846"
"Labour Costs - Total","2012","Building completion and finishing (433)","Euro Thousand","596500"
"Labour Costs - Total","2012","Other specialised construction activities (439)","Euro Thousand","309912"
"Labour Costs - Total","2012","Construction (41 to 43)","Euro Thousand","2471185"
"Labour Costs - Total","2013","Development of building projects (411)","Euro Thousand","60599"
"Labour Costs - Total","2013","Construction of residential and non-residential buildings (412)","Euro Thousand","584277"
"Labour Costs - Total","2013","Construction of roads and railways (421)","Euro Thousand","75679"
"Labour Costs - Total","2013","Construction of utility projects (422)","Euro Thousand","60472"
"Labour Costs - Total","2013","Construction of other civil engineering projects (429)","Euro Thousand","58587"
"Labour Costs - Total","2013","Demolition and site preparation (431)","Euro Thousand","30415"
"Labour Costs - Total","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","706344"
"Labour Costs - Total","2013","Building completion and finishing (433)","Euro Thousand","592391"
"Labour Costs - Total","2013","Other specialised construction activities (439)","Euro Thousand","332037"
"Labour Costs - Total","2013","Construction (41 to 43)","Euro Thousand","2500802"
"Labour Costs - Total","2014","Development of building projects (411)","Euro Thousand","72276"
"Labour Costs - Total","2014","Construction of residential and non-residential buildings (412)","Euro Thousand","730524"
"Labour Costs - Total","2014","Construction of roads and railways (421)","Euro Thousand","105406"
"Labour Costs - Total","2014","Construction of utility projects (422)","Euro Thousand","85717"
"Labour Costs - Total","2014","Construction of other civil engineering projects (429)","Euro Thousand","79577"
"Labour Costs - Total","2014","Demolition and site preparation (431)","Euro Thousand","44629"
"Labour Costs - Total","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1093281"
"Labour Costs - Total","2014","Building completion and finishing (433)","Euro Thousand","854569"
"Labour Costs - Total","2014","Other specialised construction activities (439)","Euro Thousand","497242"
"Labour Costs - Total","2014","Construction (41 to 43)","Euro Thousand","3563222"
"Labour Costs - Total","2015","Development of building projects (411)","Euro Thousand","47881"
"Labour Costs - Total","2015","Construction of residential and non-residential buildings (412)","Euro Thousand","661695"
"Labour Costs - Total","2015","Construction of roads and railways (421)","Euro Thousand","128182"
"Labour Costs - Total","2015","Construction of utility projects (422)","Euro Thousand","108172"
"Labour Costs - Total","2015","Construction of other civil engineering projects (429)","Euro Thousand","113949"
"Labour Costs - Total","2015","Demolition and site preparation (431)","Euro Thousand","52945"
"Labour Costs - Total","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1226821"
"Labour Costs - Total","2015","Building completion and finishing (433)","Euro Thousand","941315"
"Labour Costs - Total","2015","Other specialised construction activities (439)","Euro Thousand","563832"
"Labour Costs - Total","2015","Construction (41 to 43)","Euro Thousand","3844791"
"Labour Costs - Total","2016","Development of building projects (411)","Euro Thousand","97388"
"Labour Costs - Total","2016","Construction of residential and non-residential buildings (412)","Euro Thousand","1204277"
"Labour Costs - Total","2016","Construction of roads and railways (421)","Euro Thousand","140642"
"Labour Costs - Total","2016","Construction of utility projects (422)","Euro Thousand","128135"
"Labour Costs - Total","2016","Construction of other civil engineering projects (429)","Euro Thousand","128417"
"Labour Costs - Total","2016","Demolition and site preparation (431)","Euro Thousand","63468"
"Labour Costs - Total","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1203262"
"Labour Costs - Total","2016","Building completion and finishing (433)","Euro Thousand","948896"
"Labour Costs - Total","2016","Other specialised construction activities (439)","Euro Thousand","601128"
"Labour Costs - Total","2016","Construction (41 to 43)","Euro Thousand","4515613"
"Labour Costs - Total","2017","Development of building projects (411)","Euro Thousand","133361"
"Labour Costs - Total","2017","Construction of residential and non-residential buildings (412)","Euro Thousand","1585751"
"Labour Costs - Total","2017","Construction of roads and railways (421)","Euro Thousand","160843"
"Labour Costs - Total","2017","Construction of utility projects (422)","Euro Thousand","141487"
"Labour Costs - Total","2017","Construction of other civil engineering projects (429)","Euro Thousand","143439"
"Labour Costs - Total","2017","Demolition and site preparation (431)","Euro Thousand","75017"
"Labour Costs - Total","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1619157"
"Labour Costs - Total","2017","Building completion and finishing (433)","Euro Thousand","1297928"
"Labour Costs - Total","2017","Other specialised construction activities (439)","Euro Thousand","824633"
"Labour Costs - Total","2017","Construction (41 to 43)","Euro Thousand","5981616"
"Labour Costs - Total","2018","Development of building projects (411)","Euro Thousand","150502"
"Labour Costs - Total","2018","Construction of residential and non-residential buildings (412)","Euro Thousand","1792523"
"Labour Costs - Total","2018","Construction of roads and railways (421)","Euro Thousand","218502"
"Labour Costs - Total","2018","Construction of utility projects (422)","Euro Thousand","143051"
"Labour Costs - Total","2018","Construction of other civil engineering projects (429)","Euro Thousand","134482"
"Labour Costs - Total","2018","Demolition and site preparation (431)","Euro Thousand","91107"
"Labour Costs - Total","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1756875"
"Labour Costs - Total","2018","Building completion and finishing (433)","Euro Thousand","1312250"
"Labour Costs - Total","2018","Other specialised construction activities (439)","Euro Thousand","886851"
"Labour Costs - Total","2018","Construction (41 to 43)","Euro Thousand","6486145"
"Labour Costs - Total","2019","Development of building projects (411)","Euro Thousand","212110"
"Labour Costs - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","1994828"
"Labour Costs - Total","2019","Construction of roads and railways (421)","Euro Thousand","254060"
"Labour Costs - Total","2019","Construction of utility projects (422)","Euro Thousand","127785"
"Labour Costs - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand","175042"
"Labour Costs - Total","2019","Demolition and site preparation (431)","Euro Thousand","89403"
"Labour Costs - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","2209101"
"Labour Costs - Total","2019","Building completion and finishing (433)","Euro Thousand","1279627"
"Labour Costs - Total","2019","Other specialised construction activities (439)","Euro Thousand","910530"
"Labour Costs - Total","2019","Construction (41 to 43)","Euro Thousand","7252486"
"Turnover - Principal","2008","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2008","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2008","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2008","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2008","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2008","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2008","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2008","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2008","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2009","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2009","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2009","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2009","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2009","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2009","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2009","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2009","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2009","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2010","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2010","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2010","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2010","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2010","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2010","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2010","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2010","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2010","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2011","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2011","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2011","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2011","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2011","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2011","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2011","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2011","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2011","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2012","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2012","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2012","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2012","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2012","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2012","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2012","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2012","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2012","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2012","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2013","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2013","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2013","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2013","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2013","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2013","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2013","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2013","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2013","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2014","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2014","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2014","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2014","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2014","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2014","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2014","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2014","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2014","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2015","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2015","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2015","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2015","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2015","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2015","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2015","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2015","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2015","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2016","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2016","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2016","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2016","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2016","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2016","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2016","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2016","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2016","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2017","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2017","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2017","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2017","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2017","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2017","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2017","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2017","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2017","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2018","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2018","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2018","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2018","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2018","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2018","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2018","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2018","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2018","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Subcontractor","2008","Development of building projects (411)","Euro Thousand",""
"Turnover - Subcontractor","2008","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Subcontractor","2008","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Subcontractor","2008","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Subcontractor","2008","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Subcontractor","2008","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Subcontractor","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Subcontractor","2008","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Subcontractor","2008","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Subcontractor","2008","Construction (41 to 43)","Euro Thousand",""
"Turnover - Subcontractor","2009","Development of building projects (411)","Euro Thousand",""
"Turnover - Subcontractor","2009","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Subcontractor","2009","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Subcontractor","2009","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Subcontractor","2009","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Subcontractor","2009","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Subcontractor","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Subcontractor","2009","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Subcontractor","2009","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Subcontractor","2009","Construction (41 to 43)","Euro Thousand",""
"Turnover - Subcontractor","2010","Development of building projects (411)","Euro Thousand",""
"Turnover - Subcontractor","2010","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Subcontractor","2010","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Subcontractor","2010","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Subcontractor","2010","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Subcontractor","2010","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Subcontractor","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
