"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Employees - Other","2013","10 - 49","Number",""
"Employees - Other","2013","50 - 249","Number",""
"Employees - Other","2013","250 and over","Number",""
"Employees - Other","2014","0 - 9","Number",""
"Employees - Other","2014","10 - 49","Number",""
"Employees - Other","2014","50 - 249","Number",""
"Employees - Other","2014","250 and over","Number",""
"Employees - Other","2015","0 - 9","Number",""
"Employees - Other","2015","10 - 49","Number",""
"Employees - Other","2015","50 - 249","Number",""
"Employees - Other","2015","250 and over","Number",""
"Employees - Other","2016","0 - 9","Number",""
"Employees - Other","2016","10 - 49","Number",""
"Employees - Other","2016","50 - 249","Number",""
"Employees - Other","2016","250 and over","Number",""
"Employees - Other","2017","0 - 9","Number",""
"Employees - Other","2017","10 - 49","Number",""
"Employees - Other","2017","50 - 249","Number",""
"Employees - Other","2017","250 and over","Number",""
"Employees - Other","2018","0 - 9","Number",""
"Employees - Other","2018","10 - 49","Number",""
"Employees - Other","2018","50 - 249","Number",""
"Employees - Other","2018","250 and over","Number",""
"Employees - Other","2019","0 - 9","Number",""
"Employees - Other","2019","10 - 49","Number",""
"Employees - Other","2019","50 - 249","Number",""
"Employees - Other","2019","250 and over","Number",""
"Employees - Total","2008","0 - 9","Number","66126"
"Employees - Total","2008","10 - 49","Number","44804"
"Employees - Total","2008","50 - 249","Number","22051"
"Employees - Total","2008","250 and over","Number","12759"
"Employees - Total","2009","0 - 9","Number","46676"
"Employees - Total","2009","10 - 49","Number","28542"
"Employees - Total","2009","50 - 249","Number","13360"
"Employees - Total","2009","250 and over","Number","7671"
"Employees - Total","2010","0 - 9","Number","36974"
"Employees - Total","2010","10 - 49","Number","19711"
"Employees - Total","2010","50 - 249","Number","8458"
"Employees - Total","2010","250 and over","Number","4634"
"Employees - Total","2011","0 - 9","Number","33789"
"Employees - Total","2011","10 - 49","Number","16617"
"Employees - Total","2011","50 - 249","Number","6944"
"Employees - Total","2011","250 and over","Number","3847"
"Employees - Total","2012","0 - 9","Number","31244"
"Employees - Total","2012","10 - 49","Number","14968"
"Employees - Total","2012","50 - 249","Number","5840"
"Employees - Total","2012","250 and over","Number","3684"
"Employees - Total","2013","0 - 9","Number","30714"
"Employees - Total","2013","10 - 49","Number","16268"
"Employees - Total","2013","50 - 249","Number","6449"
"Employees - Total","2013","250 and over","Number","4628"
"Employees - Total","2014","0 - 9","Number","33315"
"Employees - Total","2014","10 - 49","Number","18984"
"Employees - Total","2014","50 - 249","Number","7324"
"Employees - Total","2014","250 and over","Number","7571"
"Employees - Total","2015","0 - 9","Number","36409"
"Employees - Total","2015","10 - 49","Number","22251"
"Employees - Total","2015","50 - 249","Number","8897"
"Employees - Total","2015","250 and over","Number","6030"
"Employees - Total","2016","0 - 9","Number","40260"
"Employees - Total","2016","10 - 49","Number","26612"
"Employees - Total","2016","50 - 249","Number","11301"
