"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Wages and Salaries - Manual and Other Employees","2014","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2015","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2015","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2015","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2015","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2016","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2016","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2016","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2016","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2017","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2017","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2017","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2017","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2018","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2018","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2018","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2018","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2008","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2008","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2008","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2008","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2009","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2009","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2009","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2009","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2010","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2010","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2010","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2010","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2011","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2011","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2011","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2011","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2012","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2012","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2012","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2012","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2013","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2013","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2013","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2013","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2014","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2014","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2014","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2014","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2015","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2015","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2015","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2015","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2016","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2016","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2016","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2016","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2017","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2017","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2017","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2017","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2018","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2018","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2018","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2018","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Total","2008","0 - 9","Euro Thousand","3622924"
"Wages and Salaries - Total","2008","10 - 49","Euro Thousand","1475980"
"Wages and Salaries - Total","2008","50 - 249","Euro Thousand","732014"
"Wages and Salaries - Total","2008","250 and over","Euro Thousand","417336"
"Wages and Salaries - Total","2009","0 - 9","Euro Thousand","2901730"
"Wages and Salaries - Total","2009","10 - 49","Euro Thousand","977676"
"Wages and Salaries - Total","2009","50 - 249","Euro Thousand","501107"
"Wages and Salaries - Total","2009","250 and over","Euro Thousand","251094"
"Wages and Salaries - Total","2010","0 - 9","Euro Thousand","2152708"
"Wages and Salaries - Total","2010","10 - 49","Euro Thousand","596214"
"Wages and Salaries - Total","2010","50 - 249","Euro Thousand","258026"
"Wages and Salaries - Total","2010","250 and over","Euro Thousand","154998"
"Wages and Salaries - Total","2011","0 - 9","Euro Thousand","1646368"
"Wages and Salaries - Total","2011","10 - 49","Euro Thousand","403133"
"Wages and Salaries - Total","2011","50 - 249","Euro Thousand","176247"
"Wages and Salaries - Total","2011","250 and over","Euro Thousand","110805"
"Wages and Salaries - Total","2012","0 - 9","Euro Thousand","1536527"
"Wages and Salaries - Total","2012","10 - 49","Euro Thousand","356700"
"Wages and Salaries - Total","2012","50 - 249","Euro Thousand","151210"
"Wages and Salaries - Total","2012","250 and over","Euro Thousand","90364"
"Wages and Salaries - Total","2013","0 - 9","Euro Thousand","1479827"
"Wages and Salaries - Total","2013","10 - 49","Euro Thousand","363764"
"Wages and Salaries - Total","2013","50 - 249","Euro Thousand","147890"
"Wages and Salaries - Total","2013","250 and over","Euro Thousand","104083"
"Wages and Salaries - Total","2014","0 - 9","Euro Thousand","2114898"
"Wages and Salaries - Total","2014","10 - 49","Euro Thousand","603215"
"Wages and Salaries - Total","2014","50 - 249","Euro Thousand","232847"
"Wages and Salaries - Total","2014","250 and over","Euro Thousand","252637"
"Wages and Salaries - Total","2015","0 - 9","Euro Thousand","2143663"
"Wages and Salaries - Total","2015","10 - 49","Euro Thousand","693495"
"Wages and Salaries - Total","2015","50 - 249","Euro Thousand","303469"
"Wages and Salaries - Total","2015","250 and over","Euro Thousand","290146"
"Wages and Salaries - Total","2016","0 - 9","Euro Thousand","2353269"
"Wages and Salaries - Total","2016","10 - 49","Euro Thousand","891276"
"Wages and Salaries - Total","2016","50 - 249","Euro Thousand","420971"
"Wages and Salaries - Total","2016","250 and over","Euro Thousand","307543"
"Wages and Salaries - Total","2017","0 - 9","Euro Thousand","3088653"
"Wages and Salaries - Total","2017","10 - 49","Euro Thousand","1170901"
"Wages and Salaries - Total","2017","50 - 249","Euro Thousand","553934"
"Wages and Salaries - Total","2017","250 and over","Euro Thousand","443089"
"Wages and Salaries - Total","2018","0 - 9","Euro Thousand","3134694"
"Wages and Salaries - Total","2018","10 - 49","Euro Thousand","1296577"
"Wages and Salaries - Total","2018","50 - 249","Euro Thousand","729153"
"Wages and Salaries - Total","2018","250 and over","Euro Thousand","555882"
"Wages and Salaries - Total","2019","0 - 9","Euro Thousand","3297546"
"Wages and Salaries - Total","2019","10 - 49","Euro Thousand","1476202"
"Wages and Salaries - Total","2019","50 - 249","Euro Thousand","835655"
"Wages and Salaries - Total","2019","250 and over","Euro Thousand","718394"
"Labour Costs - Other","2008","0 - 9","Euro Thousand",""
"Labour Costs - Other","2008","10 - 49","Euro Thousand",""
"Labour Costs - Other","2008","50 - 249","Euro Thousand",""
"Labour Costs - Other","2008","250 and over","Euro Thousand",""
"Labour Costs - Other","2009","0 - 9","Euro Thousand",""
"Labour Costs - Other","2009","10 - 49","Euro Thousand",""
"Labour Costs - Other","2009","50 - 249","Euro Thousand",""
"Labour Costs - Other","2009","250 and over","Euro Thousand",""
"Labour Costs - Other","2010","0 - 9","Euro Thousand",""
"Labour Costs - Other","2010","10 - 49","Euro Thousand",""
"Labour Costs - Other","2010","50 - 249","Euro Thousand",""
"Labour Costs - Other","2010","250 and over","Euro Thousand",""
"Labour Costs - Other","2011","0 - 9","Euro Thousand",""
"Labour Costs - Other","2011","10 - 49","Euro Thousand",""
"Labour Costs - Other","2011","50 - 249","Euro Thousand",""
"Labour Costs - Other","2011","250 and over","Euro Thousand",""
"Labour Costs - Other","2012","0 - 9","Euro Thousand",""
"Labour Costs - Other","2012","10 - 49","Euro Thousand",""
"Labour Costs - Other","2012","50 - 249","Euro Thousand",""
"Labour Costs - Other","2012","250 and over","Euro Thousand",""
"Labour Costs - Other","2013","0 - 9","Euro Thousand",""
"Labour Costs - Other","2013","10 - 49","Euro Thousand",""
"Labour Costs - Other","2013","50 - 249","Euro Thousand",""
"Labour Costs - Other","2013","250 and over","Euro Thousand",""
"Labour Costs - Other","2014","0 - 9","Euro Thousand",""
"Labour Costs - Other","2014","10 - 49","Euro Thousand",""
"Labour Costs - Other","2014","50 - 249","Euro Thousand",""
"Labour Costs - Other","2014","250 and over","Euro Thousand",""
"Labour Costs - Other","2015","0 - 9","Euro Thousand","256499"
"Labour Costs - Other","2015","10 - 49","Euro Thousand","86645"
"Labour Costs - Other","2015","50 - 249","Euro Thousand","35370"
"Labour Costs - Other","2015","250 and over","Euro Thousand","35504"
"Labour Costs - Other","2016","0 - 9","Euro Thousand","313200"
"Labour Costs - Other","2016","10 - 49","Euro Thousand","122077"
"Labour Costs - Other","2016","50 - 249","Euro Thousand","57675"
"Labour Costs - Other","2016","250 and over","Euro Thousand","49602"
"Labour Costs - Other","2017","0 - 9","Euro Thousand","418116"
"Labour Costs - Other","2017","10 - 49","Euro Thousand","162998"
"Labour Costs - Other","2017","50 - 249","Euro Thousand","79271"
"Labour Costs - Other","2017","250 and over","Euro Thousand","64655"
"Labour Costs - Other","2018","0 - 9","Euro Thousand","412585"
"Labour Costs - Other","2018","10 - 49","Euro Thousand","181438"
"Labour Costs - Other","2018","50 - 249","Euro Thousand","99339"
"Labour Costs - Other","2018","250 and over","Euro Thousand","76476"
"Labour Costs - Other","2019","0 - 9","Euro Thousand","491900"
"Labour Costs - Other","2019","10 - 49","Euro Thousand","217875"
"Labour Costs - Other","2019","50 - 249","Euro Thousand","115724"
"Labour Costs - Other","2019","250 and over","Euro Thousand","99192"
"Labour Costs - Total","2008","0 - 9","Euro Thousand","4271940"
"Labour Costs - Total","2008","10 - 49","Euro Thousand","1746899"
"Labour Costs - Total","2008","50 - 249","Euro Thousand","867070"
"Labour Costs - Total","2008","250 and over","Euro Thousand","497302"
"Labour Costs - Total","2009","0 - 9","Euro Thousand","3411075"
"Labour Costs - Total","2009","10 - 49","Euro Thousand","1157195"
"Labour Costs - Total","2009","50 - 249","Euro Thousand","597224"
"Labour Costs - Total","2009","250 and over","Euro Thousand","299484"
"Labour Costs - Total","2010","0 - 9","Euro Thousand","2559194"
"Labour Costs - Total","2010","10 - 49","Euro Thousand","711096"
"Labour Costs - Total","2010","50 - 249","Euro Thousand","309046"
"Labour Costs - Total","2010","250 and over","Euro Thousand","185494"
"Labour Costs - Total","2011","0 - 9","Euro Thousand","1942649"
"Labour Costs - Total","2011","10 - 49","Euro Thousand","473047"
"Labour Costs - Total","2011","50 - 249","Euro Thousand","205346"
"Labour Costs - Total","2011","250 and over","Euro Thousand","127604"
"Labour Costs - Total","2012","0 - 9","Euro Thousand","1778386"
"Labour Costs - Total","2012","10 - 49","Euro Thousand","412955"
"Labour Costs - Total","2012","50 - 249","Euro Thousand","175041"
"Labour Costs - Total","2012","250 and over","Euro Thousand","104803"
"Labour Costs - Total","2013","0 - 9","Euro Thousand","1743370"
"Labour Costs - Total","2013","10 - 49","Euro Thousand","441021"
"Labour Costs - Total","2013","50 - 249","Euro Thousand","184683"
"Labour Costs - Total","2013","250 and over","Euro Thousand","131727"
"Labour Costs - Total","2014","0 - 9","Euro Thousand","2347625"
"Labour Costs - Total","2014","10 - 49","Euro Thousand","673532"
"Labour Costs - Total","2014","50 - 249","Euro Thousand","260430"
"Labour Costs - Total","2014","250 and over","Euro Thousand","281634"
"Labour Costs - Total","2015","0 - 9","Euro Thousand","2400162"
"Labour Costs - Total","2015","10 - 49","Euro Thousand","780140"
"Labour Costs - Total","2015","50 - 249","Euro Thousand","338839"
"Labour Costs - Total","2015","250 and over","Euro Thousand","325650"
"Labour Costs - Total","2016","0 - 9","Euro Thousand","2666468"
"Labour Costs - Total","2016","10 - 49","Euro Thousand","1013353"
"Labour Costs - Total","2016","50 - 249","Euro Thousand","478646"
"Labour Costs - Total","2016","250 and over","Euro Thousand","357146"
"Labour Costs - Total","2017","0 - 9","Euro Thousand","3506768"
"Labour Costs - Total","2017","10 - 49","Euro Thousand","1333899"
"Labour Costs - Total","2017","50 - 249","Euro Thousand","633205"
"Labour Costs - Total","2017","250 and over","Euro Thousand","507744"
"Labour Costs - Total","2018","0 - 9","Euro Thousand","3547279"
"Labour Costs - Total","2018","10 - 49","Euro Thousand","1478015"
"Labour Costs - Total","2018","50 - 249","Euro Thousand","828492"
"Labour Costs - Total","2018","250 and over","Euro Thousand","632359"
"Labour Costs - Total","2019","0 - 9","Euro Thousand","3789446"
"Labour Costs - Total","2019","10 - 49","Euro Thousand","1694076"
"Labour Costs - Total","2019","50 - 249","Euro Thousand","951378"
"Labour Costs - Total","2019","250 and over","Euro Thousand","817586"
"Turnover - Principal","2008","0 - 9","Euro Thousand",""
"Turnover - Principal","2008","10 - 49","Euro Thousand",""
"Turnover - Principal","2008","50 - 249","Euro Thousand",""
"Turnover - Principal","2008","250 and over","Euro Thousand",""
"Turnover - Principal","2009","0 - 9","Euro Thousand",""
"Turnover - Principal","2009","10 - 49","Euro Thousand",""
"Turnover - Principal","2009","50 - 249","Euro Thousand",""
"Turnover - Principal","2009","250 and over","Euro Thousand",""
"Turnover - Principal","2010","0 - 9","Euro Thousand",""
"Turnover - Principal","2010","10 - 49","Euro Thousand",""
"Turnover - Principal","2010","50 - 249","Euro Thousand",""
"Turnover - Principal","2010","250 and over","Euro Thousand",""
"Turnover - Principal","2011","0 - 9","Euro Thousand",""
"Turnover - Principal","2011","10 - 49","Euro Thousand",""
"Turnover - Principal","2011","50 - 249","Euro Thousand",""
"Turnover - Principal","2011","250 and over","Euro Thousand",""
"Turnover - Principal","2012","0 - 9","Euro Thousand",""
"Turnover - Principal","2012","10 - 49","Euro Thousand",""
"Turnover - Principal","2012","50 - 249","Euro Thousand",""
"Turnover - Principal","2012","250 and over","Euro Thousand",""
"Turnover - Principal","2013","0 - 9","Euro Thousand",""
"Turnover - Principal","2013","10 - 49","Euro Thousand",""
"Turnover - Principal","2013","50 - 249","Euro Thousand",""
"Turnover - Principal","2013","250 and over","Euro Thousand",""
"Turnover - Principal","2014","0 - 9","Euro Thousand",""
"Turnover - Principal","2014","10 - 49","Euro Thousand",""
"Turnover - Principal","2014","50 - 249","Euro Thousand",""
"Turnover - Principal","2014","250 and over","Euro Thousand",""
"Turnover - Principal","2015","0 - 9","Euro Thousand",""
"Turnover - Principal","2015","10 - 49","Euro Thousand",""
"Turnover - Principal","2015","50 - 249","Euro Thousand",""
"Turnover - Principal","2015","250 and over","Euro Thousand",""
"Turnover - Principal","2016","0 - 9","Euro Thousand",""
"Turnover - Principal","2016","10 - 49","Euro Thousand",""
"Turnover - Principal","2016","50 - 249","Euro Thousand",""
"Turnover - Principal","2016","250 and over","Euro Thousand",""
"Turnover - Principal","2017","0 - 9","Euro Thousand",""
"Turnover - Principal","2017","10 - 49","Euro Thousand",""
"Turnover - Principal","2017","50 - 249","Euro Thousand",""
"Turnover - Principal","2017","250 and over","Euro Thousand",""
"Turnover - Principal","2018","0 - 9","Euro Thousand",""
"Turnover - Principal","2018","10 - 49","Euro Thousand",""
"Turnover - Principal","2018","50 - 249","Euro Thousand",""
"Turnover - Principal","2018","250 and over","Euro Thousand",""
"Turnover - Principal","2019","0 - 9","Euro Thousand",""
"Turnover - Principal","2019","10 - 49","Euro Thousand",""
"Turnover - Principal","2019","50 - 249","Euro Thousand",""
"Turnover - Principal","2019","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2008","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2008","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2008","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2008","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2009","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2009","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2009","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2009","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2010","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2010","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2010","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2010","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2011","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2011","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2011","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2011","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2012","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2012","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2012","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2012","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2013","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2013","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2013","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2013","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2014","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2014","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2014","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2014","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2015","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2015","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2015","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2015","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2016","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2016","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2016","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2016","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2017","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2017","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2017","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2017","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2018","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2018","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2018","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2018","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2019","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2019","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2019","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2019","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2008","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2008","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2008","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2008","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2009","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2009","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2009","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2009","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2010","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2010","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2010","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2010","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2011","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2011","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2011","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2011","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2012","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2012","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2012","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2012","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2013","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2013","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2013","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2013","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2014","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2014","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2014","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2014","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2015","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2015","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2015","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2015","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2016","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2016","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2016","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2016","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2017","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2017","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2017","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2017","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2018","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2018","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2018","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2018","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2019","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2019","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2019","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2019","250 and over","Euro Thousand",""
"Turnover - Factored goods","2008","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2008","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2008","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2008","250 and over","Euro Thousand",""
"Turnover - Factored goods","2009","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2009","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2009","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2009","250 and over","Euro Thousand",""
"Turnover - Factored goods","2010","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2010","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2010","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2010","250 and over","Euro Thousand",""
"Turnover - Factored goods","2011","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2011","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2011","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2011","250 and over","Euro Thousand",""
"Turnover - Factored goods","2012","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2012","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2012","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2012","250 and over","Euro Thousand",""
"Turnover - Factored goods","2013","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2013","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2013","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2013","250 and over","Euro Thousand",""
"Turnover - Factored goods","2014","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2014","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2014","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2014","250 and over","Euro Thousand",""
"Turnover - Factored goods","2015","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2015","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2015","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2015","250 and over","Euro Thousand",""
"Turnover - Factored goods","2016","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2016","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2016","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2016","250 and over","Euro Thousand",""
"Turnover - Factored goods","2017","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2017","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2017","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2017","250 and over","Euro Thousand",""
"Turnover - Factored goods","2018","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2018","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2018","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2018","250 and over","Euro Thousand",""
"Turnover - Factored goods","2019","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2019","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2019","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2019","250 and over","Euro Thousand",""
"Turnover - Other","2008","0 - 9","Euro Thousand",""
"Turnover - Other","2008","10 - 49","Euro Thousand",""
"Turnover - Other","2008","50 - 249","Euro Thousand",""
"Turnover - Other","2008","250 and over","Euro Thousand",""
"Turnover - Other","2009","0 - 9","Euro Thousand",""
"Turnover - Other","2009","10 - 49","Euro Thousand",""
"Turnover - Other","2009","50 - 249","Euro Thousand",""
"Turnover - Other","2009","250 and over","Euro Thousand",""
"Turnover - Other","2010","0 - 9","Euro Thousand",""
"Turnover - Other","2010","10 - 49","Euro Thousand",""
"Turnover - Other","2010","50 - 249","Euro Thousand",""
"Turnover - Other","2010","250 and over","Euro Thousand",""
"Turnover - Other","2011","0 - 9","Euro Thousand",""
"Turnover - Other","2011","10 - 49","Euro Thousand",""
"Turnover - Other","2011","50 - 249","Euro Thousand",""
"Turnover - Other","2011","250 and over","Euro Thousand",""
"Turnover - Other","2012","0 - 9","Euro Thousand",""
"Turnover - Other","2012","10 - 49","Euro Thousand",""
"Turnover - Other","2012","50 - 249","Euro Thousand",""
"Turnover - Other","2012","250 and over","Euro Thousand",""
"Turnover - Other","2013","0 - 9","Euro Thousand",""
"Turnover - Other","2013","10 - 49","Euro Thousand",""
"Turnover - Other","2013","50 - 249","Euro Thousand",""
"Turnover - Other","2013","250 and over","Euro Thousand",""
"Turnover - Other","2014","0 - 9","Euro Thousand",""
"Turnover - Other","2014","10 - 49","Euro Thousand",""
